ZIPCode,Date,Densite
49114,1975,16.27
49114,1982,13.94
49114,1990,11.98
49114,1999,9.15
49114,2008,11.33
49114,2013,11.47
49114,2018,10.6
49120,1968,54.17
49120,1975,59.68
49120,1982,69.17
49120,1990,79.17
49120,1999,89.17
49120,2008,90.13
49120,2013,89.62
49120,2018,88.97
49121,1968,18.3
49121,1975,13.67
49121,1982,14.22
49121,1990,15.61
49121,1999,17.0
49121,2008,18.59
49121,2013,19.52
49121,2018,19.9
49123,1968,56.45
49123,1975,66.78
49123,1982,65.49
49123,1990,74.59
49123,1999,82.68
49123,2008,105.98
49123,2013,114.4
49123,2018,117.05
49125,1968,62.26
49125,1975,62.58
49125,1982,63.45
49125,1990,67.85
49125,1999,69.59
49125,2008,71.74
49125,2013,74.37
49125,2018,74.72
49127,1968,52.18
49127,1975,53.66
49127,1982,53.48
49127,1990,52.74
49127,1999,53.22
49127,2008,54.89
49127,2013,55.83
49127,2018,55.66
49129,1968,52.17
49129,1975,188.54
49129,1982,189.95
49129,1990,197.47
49129,1999,217.57
49129,2008,220.62
49129,2013,223.15
49129,2018,249.65
49130,1968,22.39
49130,1975,21.12
49130,1982,26.06
49130,1990,30.28
49130,1999,36.41
49130,2008,46.29
49130,2013,49.24
49130,2018,52.03
49131,1968,18.12
49131,1975,15.93
49131,1982,18.04
49131,1990,21.75
49131,1999,20.19
49131,2008,23.93
49131,2013,27.05
49131,2018,27.68
49132,1968,46.99
49132,1975,47.04
49132,1982,50.1
49132,1990,52.24
49132,1999,59.29
49132,2008,73.78
49132,2013,77.7
49132,2018,79.18
49135,1968,43.1
49135,1975,47.34
49135,1982,59.13
49135,1990,65.67
49135,1999,70.49
49135,2008,82.64
49135,2013,85.58
49135,2018,85.07
49138,1968,34.49
49138,1975,30.99
49138,1982,29.19
49138,1990,30.95
49138,1999,34.67
49138,2008,39.92
49138,2013,42.69
49138,2018,43.66
49140,1968,80.84
49140,1975,74.56
49140,1982,75.44
49140,1990,74.76
49140,1999,80.23
49140,2008,101.42
49140,2013,104.32
49140,2018,103.91
49155,1968,31.71
49155,1975,28.44
49155,1982,31.97
49155,1990,38.66
49155,1999,48.59
49155,2008,54.76
