,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
407,02/03/2022,Vente,"107800,00",0,Maison,70.0,3.0,315.0,7   CABARET DES OISEAUX MAUGES-SUR-LOIRE 49570 France,47.38503,-0.863316,7 Cabaret des Oiseaux (Montjean-sur-Loire) 49410 Mauges-sur-Loire,0.6,housenumber,49244_02h1vw_00007,7,Cabaret des Oiseaux (Montjean-sur-Loire),,49410,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49212,Montjean-sur-Loire,,ok
408,28/02/2022,Vente,"860000,00",0,Maison,84.0,4.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
409,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
410,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
411,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
412,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
413,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
414,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
415,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
416,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
417,28/02/2022,Vente,"860000,00",0,Maison,84.0,4.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
418,28/02/2022,Vente,"860000,00",0,Maison,57.0,3.0,1824.0,39 RUE JEANNE D ARC (ANDRE MARCHE SEVREMOINE 49450 France,47.102047,-0.990455,39 Rue Jeanne d'Arc (St André-de-la-Marche) 49230 Sèvremoine,0.69,housenumber,49264_0075_00039,39,Rue Jeanne d'Arc (St André-de-la-Marche),,49230,Sèvremoine,"49, Maine-et-Loire, Pays de la Loire",49301,49264,Saint-André-de-la-Marche,,ok
419,03/03/2022,Vente,"175000,00",0,Maison,42.0,1.0,542.0,5228   LE RAY GRANNEAU MAUGES-SUR-LOIRE 49410 France,47.391973,-0.909148,Le Ray Granneau (Le Mesnil-en-Vallée) 49410 Mauges-sur-Loire,0.58,street,49244_veop29,,Le Ray Granneau (Le Mesnil-en-Vallée),,49410,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49204,Le Mesnil-en-Vallée,,ok
420,21/02/2022,Vente,"220000,00",0,Maison,105.0,5.0,346.0,140 CHE DU METREAU ROCHEFORT-SUR-LOIRE 49190 France,47.359239,-0.691842,140 Chemin du Métreau 49190 Rochefort-sur-Loire,0.75,housenumber,49259_0098_00140,140,Chemin du Métreau,,49190,Rochefort-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49259,,,,ok
