,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,latitude,longitude,result_score,moy_vf_10_plus_proches,moy_dist_10_plus_proches,densite_pop,prix_m2
103,04/03/2022,Vente,326900.0,0,1,128.0,5.0,327.0,47.514492,-0.584128,0.81,1797950.0,29.902734003740964,45.26,999.6941896024465
104,08/03/2022,Vente,110000.0,0,1,90.0,4.0,2249.0,47.66521,-0.565764,0.4,605000.0,87.57512149941233,69.03,48.910626945309026
105,21/02/2022,Vente,160000.0,0,1,92.0,3.0,1273.0,47.11669,-0.290831,0.75,880000.0,234.03847488070355,120.09,125.68735271013354
106,23/02/2022,Vente,400000.0,0,1,126.0,4.0,175.0,47.423818,-0.523941,0.83,2200000.0,67.05777301324183,52.03,2285.714285714286
107,07/03/2022,Vente,120000.0,0,1,61.0,3.0,75.0,47.682962,-0.491817,0.83,660000.0,27.148648051923676,69.03,1600.0
108,24/02/2022,Vente,495000.0,0,1,100.0,4.0,310.0,47.466046,-0.543277,0.81,2722500.0,18.27908014066798,24.31,1596.774193548387
109,11/03/2022,Vente,230000.0,0,1,123.0,3.0,676.0,47.664987,-0.470019,0.73,1265000.0,28.69608592703371,69.03,340.23668639053255
110,11/03/2022,Vente,230000.0,0,1,123.0,3.0,1000.0,47.664987,-0.470019,0.73,1265000.0,28.69608592703371,69.03,230.0
111,24/02/2022,Vente,210000.0,0,1,169.0,5.0,292.0,47.576321,-0.361719,0.82,1155000.0,58.168285539582655,103.91,719.1780821917808
112,18/02/2022,Vente,227600.0,0,1,79.0,4.0,331.0,47.438193,-0.528188,0.82,1251800.0,30.215214539943304,52.03,687.6132930513595
113,25/02/2022,Vente,200000.0,0,3,60.0,0.0,754.0,47.669081,-0.473346,0.69,1100000.0,39.230426841910194,69.03,265.2519893899204
114,25/02/2022,Vente,200000.0,0,1,187.0,6.0,674.0,47.669008,-0.473068,0.6,1100000.0,38.11534134628229,69.03,296.7359050445104
115,14/03/2022,Vente,185000.0,0,1,97.0,4.0,145.0,47.665984,-0.780971,0.83,1017500.0,202.93344029231807,41.84,1275.8620689655172
116,23/02/2022,Vente,74505.0,0,2,65.0,1.0,84.0,47.144591,-0.535276,0.67,409777.5,7.951023347927296,22.31,886.9642857142857
117,23/02/2022,Vente,74505.0,0,2,42.0,2.0,84.0,47.144591,-0.535276,0.67,409777.5,7.951023347927296,22.31,886.9642857142857
118,23/02/2022,Vente,74505.0,0,2,40.0,2.0,84.0,47.144591,-0.535276,0.67,409777.5,7.951023347927296,22.31,886.9642857142857
